# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	7	10	206	suite-default	Re-anchor
RULES.md	11	27	751	suite-default	Bootstrap
RULES.md	28	49	947	suite-default	Routing
RULES.md	50	59	478	suite-default	Instruction authority
RULES.md	60	74	652	suite-default	Implementation convention
RULES.md	75	99	1364	suite-default	Always human
RULES.md	100	110	404	suite-default	Subagents
RULES.md	111	118	485	suite-default	Plan / scope
RULES.md	119	131	764	suite-default	Done
RULES.md	132	139	587	common	Handoff / skills / entry
RULES.md	140	145	461	suite-default	When to break
RULES.md	146	155	377		Never
REFERENCE.md	23	59	1433		Scope of this guide
REFERENCE.md	60	91	992		Conflict order
REFERENCE.md	92	114	876		Multi-tool entry
REFERENCE.md	115	142	1197		Bootstrap ritual
REFERENCE.md	143	175	1516		Guide routing table
REFERENCE.md	176	195	747		Missing layers
REFERENCE.md	196	248	2318		Ask vs decide (conservative)
REFERENCE.md	249	275	1294		Local convention (how to find it, and the brownfield tie-breaker)
REFERENCE.md	276	294	434		Plan before code
REFERENCE.md	295	315	719		Scope discipline (hard ban)
REFERENCE.md	316	349	1573		Definition of done
REFERENCE.md	350	397	1145		Handoff (multi-tool / multi-session)
REFERENCE.md	398	419	861		Third-party skills
REFERENCE.md	420	440	1092		Anti-patterns
REFERENCE.md	441	453	860		When to break the rules
REFERENCE.md	454	471	1099		Done checklist (for work under this protocol)
REFERENCE.md	472	482	501		Relationship to other layers
