# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	9	12	378	suite-default	Complete
RULES.md	13	21	484	common	1. Secrets
RULES.md	22	30	517	common	2. Authentication
RULES.md	31	39	353	common	3. Authorization
RULES.md	40	48	509	common	4. IDOR, tenancy, query scoping
RULES.md	49	52	414	suite-default	5. PII
RULES.md	53	61	389	common	6. Passwords and credentials
RULES.md	62	73	564	common	7. Injection, XSS, CSRF
RULES.md	74	82	390	common	8. SSRF
RULES.md	83	91	588	suite-default	9. Dependencies / supply chain
RULES.md	92	100	406	common	10. Admin / privileged
RULES.md	101	104	179	common	11. Webhooks
RULES.md	105	108	454	suite-default	12. What agents must ask
RULES.md	109	118	433	suite-default	Never
RULES.md	119	122	414	suite-default	Looks wrong, is intentional
RULES.md	123	126	471	suite-default	When to break
RULES.md	127	129	203	suite-default	Done
REFERENCE.md	12	40	1188		Scope of this guide
REFERENCE.md	41	53	580		What “complete” means
REFERENCE.md	54	78	920		1. Secrets
REFERENCE.md	79	95	616		2. Authentication
REFERENCE.md	96	111	482		3. Authorization (every sensitive action)
REFERENCE.md	112	129	595		4. IDOR, tenancy, and query scoping
REFERENCE.md	130	143	595		5. PII and sensitive data
REFERENCE.md	144	158	451		6. Passwords and credentials
REFERENCE.md	159	175	681		7. Injection, XSS, CSRF
REFERENCE.md	176	191	452		8. SSRF and outbound fetches
REFERENCE.md	192	212	933		9. Dependencies and supply chain
REFERENCE.md	213	227	517		10. Admin and privileged actions
REFERENCE.md	228	234	219		11. Webhooks and external callbacks
REFERENCE.md	235	247	373		12. What agents must ask
REFERENCE.md	248	264	485		13. Anti-patterns
REFERENCE.md	265	280	546		14. Intentional patterns that may look like mistakes
REFERENCE.md	281	292	591		When to break these rules
REFERENCE.md	293	308	886		Done checklist
REFERENCE.md	309	321	623		Relationship to other layers
