# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	7	14	477	suite-default	Consult vs continue
RULES.md	15	18	196	suite-default	Decision order
RULES.md	19	30	408	suite-default	Greenfield hard rules
RULES.md	31	54	1564	suite-default	Language decision tree
RULES.md	55	64	905	suite-default	Language field notes
RULES.md	65	68	315	suite-default	Frontend and thin glue
RULES.md	69	72	324	suite-default	Backend frameworks
RULES.md	73	92	828	suite-default	Storage
RULES.md	93	96	412	suite-default	Errors
RULES.md	97	100	158	suite-default	Tooling
RULES.md	101	104	144	common	Layout
RULES.md	105	110	501	suite-default	When to break
RULES.md	111	116	391	suite-default	Done
RULES.md	117	128	571		Never
RULES.md	129	132	329	suite-default	Looks wrong, is intentional
REFERENCE.md	18	47	1206		1. Process rule: when to consult vs continue
REFERENCE.md	48	61	498		2. Decision order
REFERENCE.md	62	81	834		3. Greenfield hard rules
REFERENCE.md	82	145	3208		4. Language decision tree (for suggestions)
REFERENCE.md	146	209	2891		5. Language field notes
REFERENCE.md	210	237	1197		6. Frontend and thin glue
REFERENCE.md	238	256	708		7. Backend frameworks
REFERENCE.md	257	300	1862		8. Storage and where logic lives
REFERENCE.md	301	327	1282		9. Errors: code-style and language convention
REFERENCE.md	328	342	512		10. Tooling and packages
REFERENCE.md	343	353	429		11. Layout
REFERENCE.md	354	376	1062		12. Anti-patterns
REFERENCE.md	377	399	848		13. Intentional patterns that may look like mistakes
REFERENCE.md	400	412	568		14. When to break these rules
REFERENCE.md	413	441	1361		15. Done checklists
REFERENCE.md	442	457	1017		Relationship to other layers
