# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	7	10	336	suite-default	Complete
RULES.md	11	19	491	suite-default	Thinking order
RULES.md	20	28	547	suite-default	Logical vs physical
RULES.md	29	32	529	suite-default	New deployable
RULES.md	33	36	333	suite-default	Hybrid layout
RULES.md	37	40	475	suite-default	Prefer duplication
RULES.md	41	44	491	suite-default	Data ownership
RULES.md	45	48	429	suite-default	Frontend and backend
RULES.md	49	52	456	suite-default	How engines talk
RULES.md	53	58	496	suite-default	Always ask (structural)
RULES.md	59	62	219	suite-default	Brownfield
RULES.md	63	66	293	suite-default	Caching: stale-while-revalidate
RULES.md	67	70	197	common	Polling for async job results
RULES.md	71	74	248	suite-default	Async job dispatch
RULES.md	75	78	408	suite-default	When to break
RULES.md	79	88	476		Never
RULES.md	89	92	449	suite-default	Looks wrong, is intentional
RULES.md	93	96	377	suite-default	Done
RULES.md	97	99	228		Other layers
REFERENCE.md	12	39	1015		Scope of this guide
REFERENCE.md	40	56	705		What “complete” means
REFERENCE.md	57	80	939		1. Thinking order (greenfield)
REFERENCE.md	81	102	946		2. Logical engine vs physical deployable
REFERENCE.md	103	123	937		3. When a new deployable may be proposed
REFERENCE.md	124	148	1012		4. Hybrid layout (principles only)
REFERENCE.md	149	169	838		5. Prefer duplication over shared libraries
REFERENCE.md	170	191	823		6. Data ownership
REFERENCE.md	192	212	800		7. Frontend and backend
REFERENCE.md	213	230	629		8. How engines talk
REFERENCE.md	231	250	758		9. Always ask (structural)
REFERENCE.md	251	267	498		10. Brownfield
REFERENCE.md	268	284	521		11. Anti-patterns
REFERENCE.md	285	301	633		12. Intentional patterns that may look like mistakes
REFERENCE.md	302	314	471		When to break these rules
REFERENCE.md	315	329	798		Done checklist
REFERENCE.md	330	342	437		Relationship to other layers
REFERENCE.md	343	354	435		16. Caching: stale-while-revalidate
REFERENCE.md	355	375	498		17. Polling for async job results
REFERENCE.md	376	385	423		18. Async job dispatch via central mapping
