# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	7	14	468	suite-default	Complete / post-code
RULES.md	15	25	322	suite-default	1. Table of contents
RULES.md	26	29	195	suite-default	2. One kind of work
RULES.md	30	33	217	common	3. Sequential first
RULES.md	34	43	466	suite-default	4. Name-first decomposition
RULES.md	44	54	420	suite-default	5. Where helpers live
RULES.md	55	60	265	suite-default	6. `_` prefix
RULES.md	61	86	1449		7. Naming
RULES.md	87	90	205	suite-default	8. Null vs absent
RULES.md	91	94	209	suite-default	9. Explicit construction defaults
RULES.md	95	98	109	suite-default	10. Typed update objects
RULES.md	99	102	248	suite-default	11. Conversion at entity boundaries
RULES.md	103	115	587	suite-default	12. `get` / `ensureGet`
RULES.md	116	128	335	suite-default	13. Errors where detected
RULES.md	129	132	294	suite-default	14. Annotate opaque bindings
RULES.md	133	138	270	common	15. Comments
RULES.md	139	145	443		Relocated — do not restate
RULES.md	146	149	86	common	File order
RULES.md	150	157	534	suite-default	When to break
RULES.md	158	167	272		Never
RULES.md	168	176	371	suite-default	Looks wrong, is intentional
REFERENCE.md	19	29	552		Scope of this guide
REFERENCE.md	30	41	517		What "complete" means
REFERENCE.md	42	67	1025		Post-code check
REFERENCE.md	68	98	1079		1. Functions read like a table of contents
REFERENCE.md	99	128	986		2. One function does one kind of work
REFERENCE.md	129	158	1056		3. Sequential first, parallel second
REFERENCE.md	159	205	2161		4. Decomposition: name-first, not size-first
REFERENCE.md	206	242	1236		5. Where helpers live
REFERENCE.md	243	271	992		6. The `_` prefix (OOP languages only)
REFERENCE.md	272	408	5991		7. Naming
REFERENCE.md	409	422	369		8. Null vs absent
REFERENCE.md	423	456	1301		9. Explicit defaults at construction
REFERENCE.md	457	480	592		10. Typed update objects
REFERENCE.md	481	507	907		11. Conversion at entity boundaries
REFERENCE.md	508	651	5756		12. The `get` / `ensureGet` pattern
REFERENCE.md	652	702	1368		13. Errors are raised where they're detected
REFERENCE.md	703	739	1220		14. Explicit type annotations on let-bindings (strongly-typed languages)
REFERENCE.md	740	802	2207		15. Comments anchor weirdness, nothing else
REFERENCE.md	803	809	283		16. Caching: stale-while-revalidate — moved
REFERENCE.md	810	814	237		17. Polling for async job results — moved
REFERENCE.md	815	819	217		18. Async job dispatch via central mapping — moved
REFERENCE.md	820	824	171		19. Two tiers of data access — moved
REFERENCE.md	825	834	385		20. Tests → testing
REFERENCE.md	835	840	300		21. Log format — moved
REFERENCE.md	841	846	106		File ordering
REFERENCE.md	847	872	1339		When to break these rules
REFERENCE.md	873	893	507		Anti-patterns: never do these
REFERENCE.md	894	908	738		Intentional patterns that may look like mistakes
