# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	7	10	377	suite-default	Complete
RULES.md	11	21	422	suite-default	1. Greenfield: instrument early
RULES.md	22	39	873	suite-default	2. Logs
RULES.md	40	43	232	suite-default	3. Correlation / request IDs
RULES.md	44	47	226	suite-default	4. Metrics (minimum bar)
RULES.md	48	51	246	suite-default	5. Tracing
RULES.md	52	55	243	suite-default	6. Database and pool health
RULES.md	56	79	1814	suite-default	7. Data observability: when the data can be wrong while the system is up
RULES.md	80	83	377	common	8. Health: liveness vs readiness
RULES.md	84	89	549	suite-default	9. What agents must do
RULES.md	90	102	706	suite-default	Never
RULES.md	103	106	337	suite-default	Looks wrong, is intentional
RULES.md	107	110	410	suite-default	When to break
RULES.md	111	113	423	suite-default	Done
REFERENCE.md	13	39	1245		Scope of this guide
REFERENCE.md	40	58	875		What “complete” means
REFERENCE.md	59	83	1082		1. Greenfield: instrument early
REFERENCE.md	84	124	1352		2. Logs
REFERENCE.md	125	145	696		3. Correlation / request IDs
REFERENCE.md	146	168	771		4. Metrics (minimum bar)
REFERENCE.md	169	183	499		5. Tracing
REFERENCE.md	184	205	917		6. Database and pool health
REFERENCE.md	206	326	7190		7. Data observability: when the data can be wrong while the system is up
REFERENCE.md	327	347	716		8. Health: liveness vs readiness
REFERENCE.md	348	364	961		9. What agents must do
REFERENCE.md	365	387	936		10. Anti-patterns
REFERENCE.md	388	413	1073		11. Intentional patterns that may look like mistakes
REFERENCE.md	414	428	699		When to break these rules
REFERENCE.md	429	445	1003		Done checklist
REFERENCE.md	446	460	778		Relationship to other layers
REFERENCE.md	461	478	796		21. Log format
