# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	9	12	290		Relocated — do not restate
RULES.md	13	16	364	suite-default	Complete
RULES.md	17	38	932	suite-default	1. Expand / contract
RULES.md	39	53	514	suite-default	2. API and behavior rollout
RULES.md	54	67	810	suite-default	3. Feature flags and runtime config
RULES.md	68	81	536	suite-default	4. Rollback reality
RULES.md	82	90	458	common	5. Environments and artifacts
RULES.md	91	101	632	suite-default	6. What agents may do vs must ask
RULES.md	102	110	477	suite-default	7. Hotfix / emergency
RULES.md	111	116	480	suite-default	8. Release checklist
RULES.md	117	120	366	suite-default	When to break
RULES.md	121	134	419		Never
RULES.md	135	146	482	suite-default	Looks wrong, is intentional
RULES.md	147	149	544	suite-default	Done
REFERENCE.md	11	38	1095		Scope of this guide
REFERENCE.md	39	51	557		What “complete” means
REFERENCE.md	52	79	1068		1. Expand / contract (default for prod schema)
REFERENCE.md	80	98	587		2. API and behavior rollout
REFERENCE.md	99	130	1120		3. Feature flags and runtime config
REFERENCE.md	131	149	668		4. Rollback reality
REFERENCE.md	150	164	512		5. Environments and artifacts
REFERENCE.md	165	180	666		6. What agents may do vs must ask
REFERENCE.md	181	195	492		7. Hotfix / emergency
REFERENCE.md	196	214	575		8. Release checklist (non-destructive)
REFERENCE.md	215	230	435		9. Anti-patterns
REFERENCE.md	231	245	510		10. Intentional patterns that may look like mistakes
REFERENCE.md	246	257	462		When to break these rules
REFERENCE.md	258	270	745		Done checklist
REFERENCE.md	271	280	388		Relationship to other layers
