# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	9	16	558	suite-default	1. One meaning per field
RULES.md	17	20	457	common	2. Validate at trust boundaries
RULES.md	21	28	645	suite-default	3. Invariants in the right place
RULES.md	29	32	335	suite-default	4. Identifiers
RULES.md	33	36	257	common	5. Units, precision, and rounding
RULES.md	37	40	330	suite-default	6. Time has different meanings
RULES.md	41	44	368	suite-default	7. Normalize; earn every JSON field
RULES.md	45	55	717	suite-default	8. Postgres
RULES.md	56	59	427	suite-default	9. Mongo
RULES.md	60	63	323	suite-default	10. Redis
RULES.md	64	67	346	suite-default	11. Lifecycle, archive, and deletion
RULES.md	68	71	405	suite-default	12. Migrations change data, not just files
RULES.md	72	75	406	suite-default	13. Transactions and concurrent writers
RULES.md	76	86	536	suite-default	Never
RULES.md	87	90	174	suite-default	Looks wrong, is intentional
RULES.md	91	94	337	suite-default	When to break
RULES.md	95	97	309	suite-default	Done
REFERENCE.md	13	34	1108		Scope of this guide
REFERENCE.md	35	52	813		What “complete” means
REFERENCE.md	53	108	2095		1. Give every field one meaning
REFERENCE.md	109	150	1513		2. Validate at trust boundaries
REFERENCE.md	151	202	1935		3. Enforce each invariant in the right place
REFERENCE.md	203	228	1135		4. Identifiers are storage facts, not accidental public contracts
REFERENCE.md	229	260	1062		5. Exact values need units, precision, and rounding
REFERENCE.md	261	288	1003		6. Time has different meanings
REFERENCE.md	289	316	1100		7. Normalize structured data; earn every JSON field
REFERENCE.md	317	368	2192		8. Postgres and relational models
REFERENCE.md	369	407	1447		9. MongoDB and document models
REFERENCE.md	408	441	1271		10. Redis cache and key-value data
REFERENCE.md	442	472	1210		11. Lifecycle, archive, and deletion
REFERENCE.md	473	504	1341		12. Migrations change data, not just files
REFERENCE.md	505	544	1677		13. Transactions and concurrent writers
REFERENCE.md	545	564	824		14. Anti-patterns: never do these
REFERENCE.md	565	586	1094		15. Intentional patterns that may look like mistakes
REFERENCE.md	587	604	886		When to break these rules
REFERENCE.md	605	620	1024		Done checklist
REFERENCE.md	621	637	991		Relationship to other layers
REFERENCE.md	638	648	455		19. Two tiers of data access
