# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	7	27	976	suite-default	Relationship
RULES.md	28	35	356	suite-default	When to write
RULES.md	36	54	570	suite-default	Where ADRs live
RULES.md	55	65	314	suite-default	Format
RULES.md	66	76	371	suite-default	Lifecycle
RULES.md	77	89	491	suite-default	Agent rules
RULES.md	90	98	379	suite-default	Done
RULES.md	99	106	201	suite-default	Index
RULES.md	107	110	219	suite-default	When to break
RULES.md	111	119	313		Never
REFERENCE.md	11	25	407		Scope
REFERENCE.md	26	35	308		Relationship to other layers
REFERENCE.md	36	57	854		1. When to write an ADR
REFERENCE.md	58	83	786		2. Where ADRs live
REFERENCE.md	84	96	338		3. Format (short)
REFERENCE.md	97	110	363		4. Lifecycle
REFERENCE.md	111	126	481		5. Agent rules
REFERENCE.md	127	137	402		6. Done checklist (for a new ADR)
REFERENCE.md	138	144	165		Index
