# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	7	15	396	common	Integration base
RULES.md	16	21	336	suite-default	Feature work
RULES.md	22	39	786	suite-default	Umbrella (heavy work only)
RULES.md	40	43	187	suite-default	After merge
RULES.md	44	51	409	common	Conflicts
RULES.md	52	57	386	suite-default	Isolation
RULES.md	58	68	367	suite-default	Hotspots — serialize
RULES.md	69	80	801	suite-default	Parent / child
RULES.md	81	93	705	suite-default	Orchestrator checklist
RULES.md	94	99	346	suite-default	When to break
RULES.md	100	113	454		Never
REFERENCE.md	21	146	6502		Team-style git flow
REFERENCE.md	147	209	3152		Parallel agents and subagents
REFERENCE.md	210	379	7761		Parent / subagent authority (detail)
REFERENCE.md	380	400	1373		Anti-patterns (orchestration)
REFERENCE.md	401	410	424		When to break these rules
REFERENCE.md	411	418	316		Relationship to other layers
