# generated by scripts/gen-adapters.py; do not edit
# Section index for this guide. Read only the ranges you need:
#   Read(<file>, offset=START, limit=END-START+1)
file	start	end	bytes	tag	section
RULES.md	9	12	355	suite-default	Complete
RULES.md	13	22	776	suite-default	1. Transport: external vs internal
RULES.md	23	26	343	suite-default	2. Default external style: boring REST/JSON
RULES.md	27	30	285	suite-default	3. DTOs are not domain or DB models
RULES.md	31	34	307	common	4. Validate at the boundary
RULES.md	35	38	386	suite-default	5. Errors at the wire
RULES.md	39	42	280	suite-default	6. Success bodies
RULES.md	43	46	550	common	7. Versioning and breaking changes
RULES.md	47	50	418	common	8. Idempotency and retries
RULES.md	51	54	198	suite-default	9. Pagination
RULES.md	55	58	248	suite-default	10. Identifiers on the wire
RULES.md	59	62	282	suite-default	11. Partial updates (PATCH)
RULES.md	63	66	349	suite-default	12. Events and message payloads
RULES.md	67	70	365	common	13. Webhooks and third-party callbacks
RULES.md	71	74	389	suite-default	14. Authn / authz at the boundary (light)
RULES.md	75	78	384	suite-default	15. Service-to-service contracts
RULES.md	79	89	446	suite-default	Never
RULES.md	90	93	329	suite-default	Looks wrong, is intentional
RULES.md	94	99	332	suite-default	When to break
RULES.md	100	102	204	suite-default	Done
REFERENCE.md	12	41	1310		Scope of this guide
REFERENCE.md	42	56	691		What “complete” means
REFERENCE.md	57	108	2288		1. Transport: external vs internal
REFERENCE.md	109	124	546		2. Default external style: boring REST/JSON
REFERENCE.md	125	141	667		3. DTOs are not domain or DB models
REFERENCE.md	142	163	926		4. Validate at the boundary
REFERENCE.md	164	186	813		5. Errors at the wire
REFERENCE.md	187	201	422		6. Success bodies
REFERENCE.md	202	229	1108		7. Versioning and breaking changes
REFERENCE.md	230	246	600		8. Idempotency and retries
REFERENCE.md	247	262	406		9. Pagination
REFERENCE.md	263	277	546		10. Identifiers on the wire
REFERENCE.md	278	295	630		11. Partial updates (PATCH)
REFERENCE.md	296	314	715		12. Events and message payloads
REFERENCE.md	315	332	630		13. Webhooks and third-party callbacks
REFERENCE.md	333	349	661		14. Authn / authz at the boundary (light)
REFERENCE.md	350	361	565		15. Service-to-service contracts
REFERENCE.md	362	380	657		16. Anti-patterns
REFERENCE.md	381	400	747		17. Intentional patterns that may look like mistakes
REFERENCE.md	401	411	388		When to break these rules
REFERENCE.md	412	427	870		Done checklist
REFERENCE.md	428	439	666		Relationship to other layers
